Time [s],x,y,z,flag
820.068,-0.125,-0.007812,0.5,0
820.079,-0.09375,0,0.46875,0
820.089,-0.117188,-0.007812,0.46875,0
820.1,-0.117188,-0.007812,0.476562,0
820.11,-0.117188,0,0.46875,0
820.121,-0.117188,0,0.476562,0
820.131,-0.125,0,0.476562,0
820.142,-0.125,0,0.5,0
820.153,-0.09375,0.007812,0.453125,0
820.163,-0.101562,0.015625,0.492188,0
820.173,-0.09375,0.007812,0.453125,0
820.184,-0.117188,0.039062,0.460938,0
820.194,-0.132812,0.046875,0.445312,0
820.205,-0.117188,0.054688,0.445312,0
820.216,-0.109375,0.0625,0.453125,0
820.226,-0.117188,0.0625,0.460938,0
820.237,-0.101562,0.046875,0.460938,0
820.247,-0.132812,0.078125,0.484375,0
820.258,-0.117188,0.0625,0.460938,0
820.268,-0.109375,0.0625,0.445312,0
820.279,-0.125,0.078125,0.476562,0
820.289,-0.109375,0.0625,0.476562,0
820.301,-0.09375,0.0625,0.507812,0
820.31,-0.109375,0.0625,0.5,0
820.321,-0.101562,0.054688,0.484375,0
820.332,-0.101562,0.054688,0.476562,0
820.343,-0.09375,0.046875,0.46875,0
820.352,-0.078125,0.023438,0.46875,0
820.363,-0.085938,0.03125,0.476562,0
820.374,-0.070312,0.023438,0.484375,0
820.385,-0.054688,0,0.492188,0
820.395,-0.0625,0.023438,0.515625,0
820.405,-0.070312,0.007812,0.5,0
820.415,-0.054688,0.007812,0.476562,0
820.426,-0.070312,0.007812,0.484375,0
820.436,-0.054688,0,0.484375,0
820.45,-0.0625,-0.007812,0.476562,0
820.46,-0.0625,0,0.476562,0
820.471,-0.054688,-0.023438,0.476562,0
820.481,-0.0625,-0.03125,0.515625,0
820.492,-0.078125,-0.03125,0.515625,0
820.502,-0.070312,-0.03125,0.515625,0
820.512,-0.085938,-0.03125,0.523438,0
820.523,-0.085938,-0.03125,0.515625,0
820.534,-0.085938,-0.054688,0.53125,0
820.544,-0.09375,-0.0625,0.53125,0
820.554,-0.078125,-0.0625,0.554688,0
820.565,-0.125,-0.046875,0.554688,0
820.576,-0.117188,-0.054688,0.546875,0
820.586,-0.125,-0.070312,0.546875,0
820.597,-0.140625,-0.070312,0.5625,0
820.607,-0.140625,-0.085938,0.570312,0
820.618,-0.164062,-0.09375,0.601562,0
820.628,-0.164062,-0.085938,0.617188,0
820.639,-0.148438,-0.085938,0.617188,0
820.65,-0.148438,-0.09375,0.632812,0
820.66,-0.164062,-0.101562,0.609375,0
820.67,-0.15625,-0.101562,0.5625,0
820.681,-0.164062,-0.078125,0.601562,0
820.692,-0.171875,-0.101562,0.59375,0
820.702,-0.171875,-0.070312,0.585938,0
820.713,-0.1875,-0.101562,0.585938,0
820.724,-0.148438,-0.101562,0.601562,0
820.734,-0.179688,-0.09375,0.664062,0
820.744,-0.179688,-0.09375,0.671875,0
820.755,-0.148438,-0.101562,0.617188,0
820.765,-0.171875,-0.117188,0.609375,0
820.776,-0.179688,-0.0625,0.570312,0
820.787,-0.164062,-0.085938,0.546875,0
820.797,-0.164062,-0.070312,0.585938,0
820.808,-0.164062,-0.046875,0.578125,0
820.818,-0.1875,-0.03125,0.578125,0
820.829,-0.179688,-0.046875,0.546875,0
820.839,-0.164062,-0.0625,0.539062,0
820.85,-0.140625,-0.070312,0.570312,0
820.86,-0.132812,-0.078125,0.554688,0
820.871,-0.140625,-0.054688,0.546875,0
820.881,-0.132812,-0.054688,0.523438,0
820.892,-0.132812,-0.046875,0.53125,0
820.902,-0.132812,-0.039062,0.507812,0
820.913,-0.132812,-0.03125,0.46875,0
820.924,-0.132812,-0.039062,0.46875,0
820.935,-0.117188,-0.070312,0.414062,0
820.945,-0.09375,-0.039062,0.429688,0
820.955,-0.09375,-0.039062,0.421875,0
820.966,-0.101562,-0.039062,0.429688,0
820.977,-0.132812,-0.015625,0.484375,0
820.987,-0.09375,-0.03125,0.398438,0
820.997,-0.117188,-0.015625,0.421875,0
821.008,-0.109375,-0.039062,0.390625,0
821.019,-0.070312,-0.023438,0.367188,0
821.03,-0.09375,-0.023438,0.304688,0
821.04,-0.078125,-0.007812,0.28125,0
821.051,-0.09375,0,0.304688,0
821.061,-0.101562,0.015625,0.273438,0
821.071,-0.101562,0.015625,0.242188,0
821.082,-0.117188,0,0.304688,0
821.092,-0.117188,-0.015625,0.304688,0
821.103,-0.109375,-0.007812,0.335938,0
821.114,-0.117188,-0.007812,0.335938,0
821.124,-0.109375,-0.023438,0.328125,0
821.135,-0.109375,-0.023438,0.328125,0
821.145,-0.101562,-0.039062,0.320312,0
821.156,-0.117188,0,0.320312,0
821.167,-0.109375,-0.015625,0.320312,0
821.177,-0.109375,-0.015625,0.328125,0
821.188,-0.125,-0.007812,0.34375,0
821.198,-0.132812,-0.015625,0.304688,0
821.208,-0.125,0,0.359375,0
821.219,-0.125,0,0.34375,0
821.229,-0.125,-0.007812,0.328125,0
821.239,-0.140625,0,0.335938,0
821.25,-0.148438,0.015625,0.304688,0
821.261,-0.148438,0.007812,0.289062,0
821.271,-0.132812,0,0.28125,0
821.282,-0.125,0.007812,0.289062,0
821.292,-0.132812,0.007812,0.304688,0
821.303,-0.132812,0.007812,0.304688,0
821.313,-0.117188,0.007812,0.296875,0
821.324,-0.117188,0.007812,0.289062,0
821.335,-0.117188,-0.007812,0.296875,0
821.345,-0.109375,-0.007812,0.304688,0
821.355,-0.117188,-0.007812,0.335938,0
821.366,-0.125,-0.007812,0.359375,0
821.377,-0.125,0,0.375,0
821.387,-0.148438,0,0.390625,0
821.397,-0.140625,0,0.382812,0
821.408,-0.140625,0,0.382812,0
821.419,-0.140625,0,0.375,0
821.429,-0.125,0.007812,0.351562,0
821.439,-0.117188,0.007812,0.34375,0
821.45,-0.101562,-0.007812,0.320312,0
821.46,-0.09375,-0.015625,0.328125,0
821.471,-0.15625,-0.015625,0.28125,0
821.481,-0.09375,-0.03125,0.398438,0
821.491,-0.09375,-0.015625,0.414062,0
821.502,-0.09375,-0.015625,0.421875,0
821.513,-0.117188,-0.015625,0.476562,0
821.523,-0.109375,-0.046875,0.4375,0
821.533,-0.125,-0.015625,0.453125,0
821.544,-0.15625,-0.03125,0.4375,0
821.554,-0.148438,-0.015625,0.476562,0
821.565,-0.15625,-0.023438,0.484375,0
821.575,-0.148438,-0.023438,0.5,0
821.586,-0.132812,-0.03125,0.460938,0
