Program Time [s],data 0,data 1
25.2399,2.26476e+06,2.55066e+06
25.2809,2.26466e+06,2.5504e+06
25.3209,2.26459e+06,2.55016e+06
25.3609,2.26459e+06,2.55012e+06
25.401,2.2646e+06,2.55021e+06
25.4418,2.26465e+06,2.55034e+06
25.4818,2.26466e+06,2.55044e+06
25.5218,2.26468e+06,2.55047e+06
25.5618,2.26467e+06,2.55048e+06
25.6028,2.26468e+06,2.55048e+06
25.6428,2.26469e+06,2.55051e+06
25.6828,2.2647e+06,2.55055e+06
25.7229,2.26472e+06,2.55058e+06
25.7638,2.26472e+06,2.5506e+06
25.8051,2.26474e+06,2.55064e+06
25.8438,2.26474e+06,2.55062e+06
25.8839,2.26474e+06,2.55064e+06
25.9242,2.26474e+06,2.55067e+06
25.9648,2.26475e+06,2.5507e+06
26.0048,2.26474e+06,2.5507e+06
26.0448,2.26475e+06,2.55075e+06
26.0849,2.26474e+06,2.55076e+06
26.1258,2.26474e+06,2.55078e+06
26.1658,2.2647e+06,2.55062e+06
26.2058,2.26463e+06,2.55038e+06
26.2462,2.26461e+06,2.55033e+06
26.2868,2.26462e+06,2.55038e+06
26.3268,2.26464e+06,2.55048e+06
26.3668,2.26465e+06,2.55053e+06
26.4068,2.26466e+06,2.55058e+06
26.4469,2.26465e+06,2.55056e+06
26.4878,2.26464e+06,2.55052e+06
26.5278,2.26463e+06,2.55051e+06
26.5678,2.26464e+06,2.55054e+06
26.6078,2.26464e+06,2.55058e+06
26.6488,2.26465e+06,2.55061e+06
26.6888,2.26465e+06,2.55064e+06
26.7288,2.26466e+06,2.55067e+06
26.769,2.26466e+06,2.55069e+06
26.8101,2.26466e+06,2.55072e+06
26.8498,2.26465e+06,2.55076e+06
26.8898,2.26465e+06,2.55078e+06
26.9298,2.26465e+06,2.5508e+06
26.9698,2.26464e+06,2.55083e+06
27.0108,2.26464e+06,2.55086e+06
27.0508,2.2646e+06,2.55073e+06
27.0908,2.26453e+06,2.55049e+06
